inv_id,warehouse_id,sku_id,quantity,reorder_level,max_capacity,location_bin,expiry_date,last_updated
1,1,1,0,40,400,,2026-07-26,2026-07-31T06:46:34
2,1,2,61,40,400,A02,,2026-07-31T06:46:34
3,1,3,72,40,400,A03,,2026-07-31T06:46:34
4,1,5,94,40,400,A05,,2026-07-31T06:46:34
5,1,6,105,40,400,A06,,2026-07-31T06:46:34
6,1,7,116,40,400,A07,,2026-07-31T06:46:34
7,1,9,138,40,400,A09,,2026-07-31T06:46:34
8,1,10,0,40,400,A10,,2026-07-31T06:46:34
9,2,1,67,40,400,B01,,2026-07-31T06:46:34
10,2,2,78,40,400,B02,,2026-07-31T06:46:34
11,2,4,100,40,400,B04,,2026-07-31T06:46:34
12,2,5,111,40,400,B05,,2026-07-31T06:46:34
13,2,6,122,40,400,B06,,2026-07-31T06:46:34
14,2,8,144,40,400,B08,,2026-07-31T06:46:34
15,2,9,0,40,400,B09,,2026-07-31T06:46:34
16,2,10,166,40,400,B10,,2026-07-31T06:46:34
17,3,1,84,40,400,C01,,2026-07-31T06:46:34
18,3,3,106,40,400,C03,,2026-07-31T06:46:34
19,3,4,117,40,400,C04,,2026-07-31T06:46:34
20,3,5,128,40,400,C05,,2026-07-31T06:46:34
21,3,7,150,40,400,C07,,2026-07-31T06:46:34
22,3,8,0,40,400,C08,,2026-07-31T06:46:34
23,3,9,172,40,400,C09,,2026-07-31T06:46:34
24,4,2,112,40,400,D02,,2026-07-31T06:46:34
25,4,3,123,40,400,D03,,2026-07-31T06:46:34
26,4,4,134,40,400,D04,,2026-07-31T06:46:34
27,4,6,156,40,400,D06,,2026-07-31T06:46:34
28,4,7,0,40,400,D07,,2026-07-31T06:46:34
29,4,8,178,40,400,D08,,2026-07-31T06:46:34
30,4,10,200,40,400,D10,,2026-07-31T06:46:34
31,5,1,118,40,400,E01,,2026-07-31T06:46:34
32,5,2,129,40,400,E02,,2026-07-31T06:46:34
33,5,3,140,40,400,E03,,2026-07-31T06:46:34
34,5,5,162,40,400,E05,,2026-07-31T06:46:34
35,5,6,0,40,400,E06,,2026-07-31T06:46:34
36,5,7,184,40,400,E07,,2026-07-31T06:46:34
37,5,9,206,40,400,E09,,2026-07-31T06:46:34
38,5,10,217,40,400,E10,2026-07-26,2026-07-31T06:46:34
39,6,1,135,40,400,F01,,2026-07-31T06:46:34
40,6,2,146,40,400,F02,,2026-07-31T06:46:34
41,6,4,168,40,400,F04,,2026-07-31T06:46:34
42,6,5,0,40,400,F05,,2026-07-31T06:46:34
43,6,6,190,40,400,F06,,2026-07-31T06:46:34
44,6,8,212,40,400,F08,,2026-07-31T06:46:34
45,6,9,223,40,400,F09,2026-07-26,2026-07-31T06:46:34
46,6,10,15,40,400,F10,,2026-07-31T06:46:34
