inv_id,warehouse_id,sku_id,quantity,reorder_level,max_capacity,location_bin,expiry_date,last_updated
1,4,2,112,40,400,D02,,2026-07-31T06:46:34
2,4,3,123,40,400,D03,,2026-07-31T06:46:34
3,4,4,134,40,400,D04,,2026-07-31T06:46:34
4,4,6,156,40,400,D06,,2026-07-31T06:46:34
5,4,7,0,40,400,D07,,2026-07-31T06:46:34
6,4,8,178,40,400,D08,,2026-07-31T06:46:34
7,4,10,200,40,400,D10,,2026-07-31T06:46:34
8,5,1,118,40,400,E01,,2026-07-31T06:46:34
9,5,2,129,40,400,E02,,2026-07-31T06:46:34
10,5,3,140,40,400,E03,,2026-07-31T06:46:34
11,5,5,162,40,400,E05,,2026-07-31T06:46:34
12,5,6,0,40,400,E06,,2026-07-31T06:46:34
13,5,7,184,40,400,E07,,2026-07-31T06:46:34
14,5,9,206,40,400,E09,,2026-07-31T06:46:34
15,5,10,217,40,400,E10,2026-07-26,2026-07-31T06:46:34
