inv_id,warehouse_id,sku_id,quantity,reorder_level,max_capacity,location_bin,expiry_date,last_updated
1,2,1,75,40,400,B3,,2026-07-31T08:01:39
2,2,2,5,40,400,B4,,2026-07-31T08:01:39
3,2,4,100,40,400,B04,,2026-07-31T06:46:34
4,2,5,111,40,400,B05,,2026-07-31T06:46:34
5,2,6,122,40,400,B06,,2026-07-31T06:46:34
6,2,8,144,40,400,B08,,2026-07-31T06:46:34
7,2,9,0,40,400,B09,,2026-07-31T06:46:34
8,2,10,166,40,400,B10,,2026-07-31T06:46:34
9,3,1,84,40,400,C01,,2026-07-31T06:46:34
10,3,3,106,40,400,C03,,2026-07-31T06:46:34
11,3,4,117,40,400,C04,,2026-07-31T06:46:34
12,3,5,128,40,400,C05,,2026-07-31T06:46:34
13,3,7,150,40,400,C07,,2026-07-31T06:46:34
14,3,8,0,40,400,C08,,2026-07-31T06:46:34
15,3,9,172,40,400,C09,,2026-07-31T06:46:34
